"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "YAML", "Java Properties", "Markdown", "Java", "JSON", "HTML", "Batch", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 4754, 0, 0, 0, 1, 4755
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\App.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\App.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\admin\Admin.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\AuthProvider.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Login.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 91
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Logout.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Profile.jsx", "JavaScript JSX", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 209
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Registration.jsx", "JavaScript JSX", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 119
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingForm.jsx", "JavaScript JSX", 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 259
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingSuccess.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingSummary.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\Bookings.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingsTable.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\Checkout.jsx", "JavaScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 100
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\FindBooking.jsx", "JavaScript JSX", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 144
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\DateSlider.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\Header.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\HotelService.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 98
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\Parallax.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomCarousel.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomFilter.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomPaginator.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomSearch.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 135
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomSearchResult.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomTypeSelector.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\home\Home.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\Footer.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\MainHeader.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\NavBar.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 96
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\AddRoom.jsx", "JavaScript JSX", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 148
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\EditRoom.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 140
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\ExitsingRooms.jsx", "JavaScript JSX", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 152
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\Room.jsx", "JavaScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\RoomCard.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\RoomListing.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\utils\ApiFunctions.jsx", "JavaScript JSX", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 232
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\index.css", "CSS", 0, 0, 529, 0, 0, 0, 0, 0, 0, 0, 0, 19, 113, 661
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 51, 37, 206
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\pom.xml", "XML", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 6, 112
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\LakeSideHotelApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\ServletInitializer.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 7, 63
