Date : 2024-06-01 19:30:19
Directory : c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb
Total : 112 files,  10146 codes, 96 comments, 856 blanks, all 11098 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| JSON            |          2 |      4,792 |          0 |          2 |      4,794 |
| JavaScript JSX  |         36 |      2,583 |         19 |        269 |      2,871 |
| Java            |         60 |      1,899 |          5 |        401 |      2,305 |
| CSS             |          2 |        563 |         19 |        119 |        701 |
| Batch           |          1 |        118 |         51 |         37 |        206 |
| XML             |          3 |        108 |          0 |          6 |        114 |
| JavaScript      |          2 |         26 |          1 |          3 |         30 |
| YAML            |          1 |         21 |          0 |          3 |         24 |
| Java Properties |          2 |         17 |          1 |         10 |         28 |
| HTML            |          1 |         13 |          0 |          1 |         14 |
| Markdown        |          2 |          6 |          0 |          5 |         11 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |        112 |     10,146 |         96 |        856 |     11,098 |
| . (Files)                                                                                                                                                           |          1 |          1 |          0 |          1 |          2 |
| Client                                                                                                                                                              |         46 |      7,984 |         39 |        398 |      8,421 |
| Client\lakeSide-hotel                                                                                                                                               |         46 |      7,984 |         39 |        398 |      8,421 |
| Client\lakeSide-hotel (Files)                                                                                                                                       |          6 |      4,836 |          1 |         10 |      4,847 |
| Client\lakeSide-hotel\public                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| Client\lakeSide-hotel\src                                                                                                                                           |         39 |      3,147 |         38 |        388 |      3,573 |
| Client\lakeSide-hotel\src (Files)                                                                                                                                   |          4 |        622 |         19 |        127 |        768 |
| Client\lakeSide-hotel\src\assets                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| Client\lakeSide-hotel\src\components                                                                                                                                |         34 |      2,524 |         19 |        261 |      2,804 |
| Client\lakeSide-hotel\src\components\admin                                                                                                                          |          1 |         13 |          0 |          2 |         15 |
| Client\lakeSide-hotel\src\components\auth                                                                                                                           |          5 |        444 |          2 |         50 |        496 |
| Client\lakeSide-hotel\src\components\bookings                                                                                                                       |          7 |        693 |          0 |         59 |        752 |
| Client\lakeSide-hotel\src\components\common                                                                                                                         |         10 |        521 |          0 |         50 |        571 |
| Client\lakeSide-hotel\src\components\home                                                                                                                           |          1 |         29 |          0 |          2 |         31 |
| Client\lakeSide-hotel\src\components\layout                                                                                                                         |          3 |        118 |          0 |         18 |        136 |
| Client\lakeSide-hotel\src\components\room                                                                                                                           |          6 |        514 |          0 |         57 |        571 |
| Client\lakeSide-hotel\src\components\utils                                                                                                                          |          1 |        192 |         17 |         23 |        232 |
| lakeSide-hotel                                                                                                                                                      |         65 |      2,161 |         57 |        457 |      2,675 |
| lakeSide-hotel (Files)                                                                                                                                              |          2 |        224 |         51 |         43 |        318 |
| lakeSide-hotel\.mvn                                                                                                                                                 |          1 |          2 |          0 |          1 |          3 |
| lakeSide-hotel\.mvn\wrapper                                                                                                                                         |          1 |          2 |          0 |          1 |          3 |
| lakeSide-hotel\src                                                                                                                                                  |         62 |      1,935 |          6 |        413 |      2,354 |
| lakeSide-hotel\src\main                                                                                                                                             |         61 |      1,926 |          6 |        408 |      2,340 |
| lakeSide-hotel\src\main\java                                                                                                                                        |         59 |      1,890 |          5 |        396 |      2,291 |
| lakeSide-hotel\src\main\java\com                                                                                                                                    |         59 |      1,890 |          5 |        396 |      2,291 |
| lakeSide-hotel\src\main\java\com\example                                                                                                                            |         59 |      1,890 |          5 |        396 |      2,291 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel                                                                                                           |         59 |      1,890 |          5 |        396 |      2,291 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel (Files)                                                                                                   |          2 |         18 |          0 |         10 |         28 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller                                                                                                |          8 |        519 |          0 |         68 |        587 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption                                                                                                  |          8 |         48 |          0 |         16 |         64 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model                                                                                                     |          7 |        276 |          3 |         66 |        345 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository                                                                                                |          7 |         65 |          0 |         32 |         97 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\request                                                                                                   |          1 |         10 |          0 |          3 |         13 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\response                                                                                                  |          5 |        134 |          1 |         27 |        162 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security                                                                                                  |          7 |        329 |          1 |         52 |        382 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security (Files)                                                                                          |          2 |        110 |          1 |         17 |        128 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\jwt                                                                                              |          3 |        138 |          0 |         21 |        159 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\user                                                                                             |          2 |         81 |          0 |         14 |         95 |
| lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service                                                                                                   |         14 |        491 |          0 |        122 |        613 |
| lakeSide-hotel\src\main\resources                                                                                                                                   |          2 |         36 |          1 |         12 |         49 |
| lakeSide-hotel\src\test                                                                                                                                             |          1 |          9 |          0 |          5 |         14 |
| lakeSide-hotel\src\test\java                                                                                                                                        |          1 |          9 |          0 |          5 |         14 |
| lakeSide-hotel\src\test\java\com                                                                                                                                    |          1 |          9 |          0 |          5 |         14 |
| lakeSide-hotel\src\test\java\com\example                                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| lakeSide-hotel\src\test\java\com\example\CoutingStarHotel                                                                                                           |          1 |          9 |          0 |          5 |         14 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                            | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\.eslintrc.cjs                                                                     | JavaScript      |         21 |          0 |          1 |         22 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\README.md                                                                         | Markdown        |          5 |          0 |          4 |          9 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\index.html                                                                        | HTML            |         13 |          0 |          1 |         14 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\package-lock.json                                                                 | JSON            |      4,754 |          0 |          1 |      4,755 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\package.json                                                                      | JSON            |         38 |          0 |          1 |         39 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\public\vite.svg                                                                   | XML             |          1 |          0 |          0 |          1 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\App.css                                                                       | CSS             |         34 |          0 |          6 |         40 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\App.jsx                                                                       | JavaScript JSX  |         50 |          0 |          6 |         56 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\assets\react.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\admin\Admin.jsx                                                    | JavaScript JSX  |         13 |          0 |          2 |         15 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\AuthProvider.jsx                                              | JavaScript JSX  |         33 |          0 |          7 |         40 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Login.jsx                                                     | JavaScript JSX  |         81 |          1 |          9 |         91 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Logout.jsx                                                    | JavaScript JSX  |         31 |          0 |          6 |         37 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Profile.jsx                                                   | JavaScript JSX  |        189 |          1 |         19 |        209 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\auth\Registration.jsx                                              | JavaScript JSX  |        110 |          0 |          9 |        119 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingForm.jsx                                           | JavaScript JSX  |        242 |          0 |         17 |        259 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingSuccess.jsx                                        | JavaScript JSX  |         27 |          0 |          3 |         30 |
